id,Grid cell,green_area_m2,city_level,neighborhood_level,trail,camera_surveillance,commercial_poi,public_poi,recreation_poi,housing_Owner,housing_Renter,housing_buld_age_1945 and before,housing_buld_age_1946-1990,housing_buld_age_1991 and after,housing_small_apartment,housing_large_apartment,housing_standalone_house,housing_auxiliary_house,housing_others,isco_High,isco_Medium,isco_Low,ethnical_EST,ethnical_RUS,age_0-9,age_10-19,age_20-29,age_30-39,age_40-49,age_50-59,age_60-69,age_70-79,age_80-89,age_90+,revised_landuse_11100,revised_landuse_11210,revised_landuse_11220,revised_landuse_12100,X,Y,landuse_diversity,numbers_against_public_order,numbers_violent_crime,numbers_against_property,Grid cell_count,geometry,crime_incidents
44,500mN6581500E540500,51638.273,503.165,3260.06,1276.977,0.0,5.0,2.0,0.0,719,504,31.0,650.0,607.0,2.0,34.0,28.0,0.0,7.0,216,122,306,813,321,131,106,112,204,157,158,211,123,77,11,38273.574,49053.585,30886.425,74334.14,540749.5,6581749.5,5,11.0,0.0,124.0,1.0,"POLYGON ((540500 6581500, 540500 6581999, 540999 6581999, 540999 6581500, 540500 6581500))",135.0
46,500mN6581500E543000,210853.994,894.122,789.168,1040.645,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.0,1.0,8.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3156.545,3775.562,15792.368,543249.5,6581749.5,4,1.0,0.0,23.5,2.0,"POLYGON ((543000 6581500, 543000 6581999, 543499 6581999, 543499 6581500, 543000 6581500))",24.5
47,500mN6582000E535500,28799.136,53.154,3439.332,241.791,0.0,0.0,0.0,0.0,325,18,63.0,205.0,88.0,3.0,6.0,115.0,0.0,1.0,80,45,48,341,12,45,49,30,54,51,50,30,29,20,3,,156110.458,35646.852,4793.528,535749.5,6582249.5,4,2.0,0.0,0.0,1.0,"POLYGON ((535500 6582000, 535500 6582499, 535999 6582499, 535999 6582000, 535500 6582000))",2.0
48,500mN6582000E536000,32.644,0.0,3603.379,0.0,0.0,0.0,0.0,0.0,383,17,102.0,269.0,68.0,4.0,3.0,159.0,0.0,1.0,95,61,60,421,14,40,69,33,40,56,78,59,35,22,7,,103792.034,124331.874,,536249.5,6582249.5,3,0.0,0.0,8.0,1.0,"POLYGON ((536000 6582000, 536000 6582499, 536499 6582499, 536499 6582000, 536000 6582000))",8.0
49,500mN6582000E536500,474.027,0.0,3845.066,455.671,0.0,0.0,0.0,0.0,394,40,148.0,277.0,57.0,3.0,16.0,142.0,0.0,2.0,113,72,59,467,9,53,55,51,54,67,81,56,48,21,4,,70498.228,158395.671,,536749.5,6582249.5,3,0.0,0.0,3.0,1.0,"POLYGON ((536500 6582000, 536500 6582499, 536999 6582499, 536999 6582000, 536500 6582000))",3.0
50,500mN6582000E537000,2988.097,0.0,4194.699,144.399,0.0,0.0,0.0,0.0,437,36,214.0,251.0,44.0,5.0,25.0,141.0,0.0,8.0,121,71,79,490,11,55,78,52,67,72,74,52,35,27,5,3486.505,80109.913,132698.6,,537249.5,6582249.5,4,1.0,0.0,7.0,1.0,"POLYGON ((537000 6582000, 537000 6582499, 537499 6582499, 537499 6582000, 537000 6582000))",8.0
51,500mN6582000E537500,119817.197,0.0,3243.679,1978.366,0.0,0.0,0.0,0.0,384,57,85.0,267.0,125.0,4.0,13.0,65.0,0.0,2.0,144,55,51,457,8,66,64,45,75,74,61,37,35,17,6,925.66,82957.649,15261.012,18722.29,537749.5,6582249.5,5,4.0,0.0,8.0,1.0,"POLYGON ((537500 6582000, 537500 6582499, 537999 6582499, 537999 6582000, 537500 6582000))",12.0
52,500mN6582000E538000,69477.322,456.84,3471.957,940.832,0.0,0.0,0.0,0.0,282,48,98.0,242.0,38.0,3.0,22.0,90.0,0.0,1.0,93,56,60,405,65,48,52,49,44,76,84,79,41,16,4,,93911.417,55754.237,2860.1,538249.5,6582249.5,4,3.0,0.0,10.0,1.0,"POLYGON ((538000 6582000, 538000 6582499, 538499 6582499, 538499 6582000, 538000 6582000))",13.0
53,500mN6582000E538500,85515.808,536.993,3234.35,1169.302,1.0,1.0,0.0,1.0,247,32,66.0,214.0,26.0,6.0,11.0,68.0,0.0,4.0,87,30,39,297,10,32,38,42,33,37,39,48,31,10,3,,125543.102,13261.157,,538749.5,6582249.5,3,2.0,0.0,2.0,1.0,"POLYGON ((538500 6582000, 538500 6582499, 538999 6582499, 538999 6582000, 538500 6582000))",4.0
54,500mN6582000E539000,451.282,343.47,3023.553,0.0,0.0,0.0,0.0,0.0,355,33,81.0,299.0,44.0,3.0,14.0,133.0,0.0,0.0,106,48,54,381,24,37,55,43,41,59,71,50,35,30,3,,121749.345,97116.264,7829.304,539249.5,6582249.5,4,1.0,0.0,5.0,1.0,"POLYGON ((539000 6582000, 539000 6582499, 539499 6582499, 539499 6582000, 539000 6582000))",6.0
55,500mN6582000E539500,77516.897,0.0,3029.12,2303.957,0.0,0.0,0.0,0.0,288,25,123.0,193.0,26.0,3.0,16.0,104.0,0.0,1.0,109,40,39,316,18,25,51,30,31,51,59,51,27,11,6,,125368.604,30040.246,,539749.5,6582249.5,3,0.0,0.0,6.0,1.0,"POLYGON ((539500 6582000, 539500 6582499, 539999 6582499, 539999 6582000, 539500 6582000))",6.0
56,500mN6582000E540000,57501.594,0.0,4172.57,1113.688,0.0,3.0,1.0,0.0,1472,263,85.0,1753.0,77.0,6.0,25.0,81.0,0.0,3.0,308,212,429,1166,547,178,172,173,285,256,237,260,216,126,15,24169.562,103547.057,77785.094,,540249.5,6582249.5,4,9.0,0.0,51.0,1.0,"POLYGON ((540000 6582000, 540000 6582499, 540499 6582499, 540499 6582000, 540000 6582000))",60.0
57,500mN6582000E540500,39774.2,596.231,4877.489,844.638,0.0,5.0,1.0,1.0,1061,278,74.0,1282.0,135.0,2.0,33.0,46.0,0.0,8.0,211,171,347,928,415,160,128,142,255,196,196,200,126,72,16,17306.887,168939.568,6135.227,23450.62,540749.5,6582249.5,5,8.0,0.0,39.0,1.0,"POLYGON ((540500 6582000, 540500 6582499, 540999 6582499, 540999 6582000, 540500 6582000))",47.0
58,500mN6582000E542000,113293.112,929.503,3405.07,1113.581,4.0,0.0,3.0,0.0,293,23,0.0,358.0,0.0,0.0,12.0,0.0,0.0,0.0,52,32,119,160,161,25,25,39,54,38,55,63,40,14,5,13957.067,39869.247,,46110.928,542249.5,6582249.5,4,1.0,0.0,1.0,1.0,"POLYGON ((542000 6582000, 542000 6582499, 542499 6582499, 542499 6582000, 542000 6582000))",2.0
59,500mN6582500E535500,124811.594,648.101,1338.466,1530.31,0.0,0.0,1.0,0.0,9,0,0.0,0.0,9.0,0.0,1.0,6.0,0.0,1.0,6,0,0,9,0,0,0,3,0,0,3,3,0,0,0,,6024.347,,65531.259,535749.5,6582749.5,3,0.0,0.0,2.0,1.0,"POLYGON ((535500 6582500, 535500 6582999, 535999 6582999, 535999 6582500, 535500 6582500))",2.0
60,500mN6582500E536000,45011.213,0.0,3130.879,607.227,0.0,0.0,0.0,0.0,494,26,45.0,394.0,137.0,6.0,10.0,108.0,0.0,3.0,143,74,80,538,20,46,72,59,64,77,87,77,54,35,5,,170377.808,9327.481,13892.488,536249.5,6582749.5,4,4.0,0.0,11.0,1.0,"POLYGON ((536000 6582500, 536000 6582999, 536499 6582999, 536499 6582500, 536000 6582500))",15.0
61,500mN6582500E536500,5565.754,414.041,2343.17,311.292,0.0,0.0,0.0,1.0,188,13,13.0,52.0,144.0,1.0,10.0,50.0,0.0,0.0,73,18,17,183,15,37,25,9,47,32,18,22,7,8,4,,42430.747,24279.393,,536749.5,6582749.5,3,,,,,"POLYGON ((536500 6582500, 536500 6582999, 536999 6582999, 536999 6582500, 536500 6582500))",
